# GDP of China, Japan, USA from the World Bank (NY.GDP.MKTP.CD)
# Last Updated : 03/01/2018
# 
# Data description: 1960-2016 
#  
# Column 1 : Year
# Column 2 : China GDP (US dollar)
# Column 3 : Japan GDP
# Column 4 : USA GDP 
Year	China GDP	Japan GDP	USA GDP
1960	59716467625.3148	44096113140.6222	543300000000
1961	50056868957.6732	53216886419.9111	563300000000
1962	47209359005.6056	60366887321.6	605100000000
1963	50706799902.5103	69060415396.9778	638600000000
1964	59708343488.5043	81163510670.2222	685800000000
1965	70436266146.7219	90333954412.0889	743700000000
1966	76720285969.6157	104942627862.756	815000000000
1967	72881631326.6715	123005013560.889	861700000000
1968	70846535055.6503	145604342943.289	942500000000
1969	79705906247.4612	171075803545.6	1019900000000
1970	92602973434.0726	211231123361.667	1075884000000
1971	99800958648.1436	238781928904.803	1167770000000
1972	113687586299.051	316668705116.064	1282449000000
1973	138544284708.957	430282617420.87	1428549000000
1974	144182133387.722	476658826791.403	1548825000000
1975	163431551779.761	518719815890.157	1688923000000
1976	153940455341.506	583061798680.503	1877587000000
1977	174938098826.569	717914399029.086	2085951000000
1978	149540752829.268	1009545978863.03	2356571000000
1979	178280594413.043	1051735670995.25	2632143000000
1980	191149211575	1100216974809.56	2862505000000
1981	195866382432.54	1214225798525.68	3210956000000
1982	205089699858.779	1131109872071.94	3344991000000
1983	230686747153.257	1234746988648.56	3638137000000
1984	259946510957.143	1313231831609.22	4040693000000
1985	309488028132.653	1406890943445.81	4346734000000
1986	300758100107.246	2083603995926.29	4590155000000
1987	272972974764.574	2530065984407.92	4870217000000
1988	312353631207.819	3070428247993.59	5252629000000
1989	347768051311.741	3074655453214.74	5657693000000
1990	360857912565.966	3161763309820.61	5979589000000
1991	383373318083.624	3603980405658.37	6174043000000
1992	426915712711.146	3932822009801.72	6539299000000
1993	444731282436.762	4508045997718.48	6878718000000
1994	564324670005.917	4948674171638.56	7308755000000
1995	734547898220.508	5496274702422.72	7664060000000
1996	863746717503.789	4890707865757.3	8100201000000
1997	961603952951.82	4471233787003.82	8608515000000
1998	1029043097554.08	4081348883505.86	9089168000000
1999	1093997267271.06	4616944730253.15	9660624000000
2000	1211346869605.24	4957337923546.96	10284779000000
2001	1339395718865.3	4369134419878.73	10621824000000
2002	1470550015081.55	4173440839633.78	10977514000000
2003	1660287965662.68	4515862973169.96	11510670000000
2004	1955347004963.27	4905629754235.49	12274928000000
2005	2285965892360.54	4858499775899.08	13093726000000
2006	2752131773355.16	4649027122261.27	13855888000000
2007	3552182311652.97	4650823967015.84	14477635000000
2008	4598206091384	5169912780150.83	14718582000000
2009	5109953609257.25	5359253650471.68	14418739000000
2010	6100620488867.55	5847341432190.46	14964372000000
2011	7572553836875.34	6331880341636.09	15517926000000
2012	8560547314679.28	6369372092738.79	16155255000000
2013	9607224481532.65	5328796476996.15	16691517000000
2014	10482372109961.9	5024116287795.76	17393103000000
2015	11064666282625.5	4548953134105.26	18120714000000
2016	11199145157649.2	5096371176439.97	18624475000000
