Place of origin;Listening;Reading;Writing;Speaking;Overall
Albania;6.36;6.45;6.03;6.68;6.43
Algeria;5.91;5.78;5.6;6.29;5.96
American Samoa;6.5;5.64;5.82;6.82;6.25
Andorra;5.86;5.91;5.73;5.73;5.82
Angola;5.29;5.13;5.35;6.15;5.54
Anguilla;6.88;5.88;5.5;7;6.38
Antigua and Barbuda;7.04;6.58;6.21;7.63;7
Argentina;7.29;7.38;6.22;6.86;7
Armenia;6.5;6.37;6.16;6.68;6.49
Aruba;3.68;4.32;4.32;4.76;4.26
Australia;7.24;6.86;6.14;7.22;6.93
Austria;7.81;7.65;6.73;7.46;7.47
Azerbaijan;6.37;6.17;5.63;6.02;6.11
Bahamas;7.36;6.73;6.91;8.3;7.39
Bahrain;6.18;5.77;5.56;6.43;6.05
Bangladesh;6.27;5.94;5.82;6.19;6.12
Barbados;7.7;7.11;6.5;7.7;7.34
Belarus;6.88;6.93;6.12;6.73;6.73
Belgium;7.51;7.57;6.27;6.92;7.13
Belize;7.23;6.78;6.4;7.53;7.05
Benin;5.53;5.73;5.83;6.12;5.86
Bermuda;6.3;5.5;5.6;6.6;6.1
Bhutan;6.26;5.89;5.96;6.48;6.21
Bolivia, Plurinational State of;6.61;6.63;5.78;6.8;6.54
Bosnia and Herzegovina;7.01;6.82;6.11;6.82;6.74
Botswana;7.14;6.67;6.58;7.43;7.01
Brazil;6.76;6.95;6.03;6.75;6.69
British Indian Ocean Territory;6.56;5.89;5.67;6.17;6.17
Brunei Darussalam;7.14;6.72;6.08;6.75;6.73
Bulgaria;7.26;7.02;6.18;6.71;6.86
Burkina Faso;5.18;5.49;5.45;5.92;5.56
Burma;6.95;7;6.2;6.23;6.67
Burundi;5.81;5.73;5.84;6.39;5.99
Cambodia;5.85;5.66;5.46;5.9;5.78
Cameroon;5.77;5.65;5.99;6.49;6.04
Canada;7.04;6.73;6.25;7.12;6.85
Canton and Enderburys Phoenix Is;6.38;6.13;5.88;6.75;6.25
Cape Verde;6.69;6.44;5.94;6.81;6.56
Cayman Islands;5.75;5.75;5;6.25;5.75
Central African Republic;4.96;4.85;5.58;6.23;5.42
Chad;4.75;4.73;4.67;5.81;5.11
Chile;6.64;6.98;6.04;6.59;6.63
China (People's Republic of);5.84;6.08;5.34;5.39;5.73
Christmas Island;5.5;7.5;6;6.5;6.5
Cocos (Keeling) Islands;5.5;6;5.5;7;6
Colombia;6.42;6.69;5.81;6.51;6.42
Comoros;4.63;4.61;4.48;5.11;4.77
Congo;5.48;5.34;5.64;6.3;5.74
Congo, Democratic Republic of the;5.61;5.58;5.78;6.55;5.95
Costa Rica;7.1;7.25;6.31;7.31;7.05
Cote d'Ivoire;5.43;5.55;5.59;6.03;5.73
Croatia;7.43;7.32;6.3;7.04;7.09
Cuba;6.14;6.69;6.05;6.54;6.41
Cyprus;6.79;6.37;5.95;6.41;6.44
Czech Republic;7.51;7.26;6.33;7.1;7.1
Denmark;7.54;7.23;6.42;7.69;7.28
Djibouti;5.83;5.61;5.37;6.4;5.89
