# Population of Japan in 2020, by prefecture
#
Hokkaido,5183000
Aomori,1221000
Iwate,1196000
Miyagi,2290000
Akita,945000
Yamagata,1055000
Fukushima,1812000
Ibaraki,2852000
Tochigi,1921000
Gunma,1927000
Saitama,7340000
Chiba,6275000
Tokyo,14010000
Kanagawa,9236000
Niigata,2177000
Toyama,1025000
Ishikawa,1125000
Fukui,760000
Yamanashi,805000
Nagano,2033000
Gifu,1961000
Shizuoka,3608000
Aichi,7517000
Mie,1756000
Shiga,1411000
Kyoto,2561000
Osaka,8806000
Hyogo,5432000
Nara,1315000
Wakayama,914000
Tottori,549000
Shimane,665000
Okayama,1876000
Hiroshima,2780000
Yamaguchi,1328000
Tokushima,712000
Kagawa,942000
Ehime,1321000
Kochi,684000
Fukuoka,5124000
Saga,806000
Nagasaki,1297000
Kumamoto,1728000
Oita,1114000
Miyazaki,1061000
Kagoshima,1576000
Okinawa,1468000
