Country,Element,Unit,Value
Afghanistan,Area harvested,ha,1635000.0
Afghanistan,Yield,hg/ha,22100.0
Afghanistan,Production,tonnes,3613300.0
Albania,Area harvested,ha,65072.0
Albania,Yield,hg/ha,36927.0
Albania,Production,tonnes,240294.0
Algeria,Area harvested,ha,2087003.0
Algeria,Yield,hg/ha,19076.0
Algeria,Production,tonnes,3981219.0
Angola,Area harvested,ha,2579.0
Angola,Yield,hg/ha,10935.0
Angola,Production,tonnes,2820.0
Argentina,Area harvested,ha,5822173.0
Argentina,Yield,hg/ha,31806.0
Argentina,Production,tonnes,18518045.0
Armenia,Area harvested,ha,66378.0
Armenia,Yield,hg/ha,28240.0
Armenia,Production,tonnes,187453.0
Australia,Area harvested,ha,10919180.0
Australia,Yield,hg/ha,19178.0
Australia,Production,tonnes,20941134.0
Austria,Area harvested,ha,292654.0
Austria,Yield,hg/ha,46846.0
Austria,Production,tonnes,1370960.0
Azerbaijan,Area harvested,ha,677834.0
Azerbaijan,Yield,hg/ha,29383.0
Azerbaijan,Production,tonnes,1991683.0
Bangladesh,Area harvested,ha,351228.0
Bangladesh,Yield,hg/ha,31301.0
Bangladesh,Production,tonnes,1099373.0
Belarus,Area harvested,ha,659861.0
Belarus,Yield,hg/ha,27502.0
Belarus,Production,tonnes,1814765.0
Belgium,Area harvested,ha,195686.0
Belgium,Yield,hg/ha,84434.0
Belgium,Production,tonnes,1652249.0
Bhutan,Area harvested,ha,2130.0
Bhutan,Yield,hg/ha,19439.0
Bhutan,Production,tonnes,4141.0
Bolivia (Plurinational State of),Area harvested,ha,199569.0
Bolivia (Plurinational State of),Yield,hg/ha,15117.0
Bolivia (Plurinational State of),Production,tonnes,301689.0
Bosnia and Herzegovina,Area harvested,ha,73591.0
Bosnia and Herzegovina,Yield,hg/ha,40196.0
Bosnia and Herzegovina,Production,tonnes,295810.0
Brazil,Area harvested,ha,2065254.0
Brazil,Yield,hg/ha,26238.0
Brazil,Production,tonnes,5418711.0
Bulgaria,Area harvested,ha,1212012.0
Bulgaria,Yield,hg/ha,48122.0
