Country,Unit,Value
China,tonnes,131447224.0
India,tonnes,99700000.0
Russian Federation,tonnes,72136149.0
United States of America,tonnes,51286540.0
France,tonnes,35798234.0
Canada,tonnes,31769200.0
Pakistan,tonnes,25076149.0
Ukraine,tonnes,24652840.0
Australia,tonnes,20941134.0
Germany,tonnes,20263500.0
Turkey,tonnes,20000000.0
Argentina,tonnes,18518045.0
Iran (Islamic Republic of),tonnes,14500000.0
Kazakhstan,tonnes,13944108.0
United Kingdom of Great Britain and Northern Ireland,tonnes,13555000.0
Romania,tonnes,10143671.0
Poland,tonnes,9820315.0
Egypt,tonnes,8800000.0
Spain,tonnes,7989906.0
Morocco,tonnes,7320620.0
Italy,tonnes,6932943.0
Bulgaria,tonnes,5832449.0
Brazil,tonnes,5418711.0
Uzbekistan,tonnes,5410760.0
Hungary,tonnes,5245890.0
Czechia,tonnes,4417841.0
Ethiopia,tonnes,4238836.0
Algeria,tonnes,3981219.0
Afghanistan,tonnes,3613300.0
Iraq,tonnes,3211382.0
Mexico,tonnes,2943445.0
Serbia,tonnes,2941601.0
Lithuania,tonnes,2838899.0
Denmark,tonnes,2654819.0
Azerbaijan,tonnes,1991683.0
Nepal,tonnes,1949001.0
Slovakia,tonnes,1927926.0
South Africa,tonnes,1868000.0
Belarus,tonnes,1814765.0
Belgium,tonnes,1652249.0
Sweden,tonnes,1620300.0
Tunisia,tonnes,1500000.0
Chile,tonnes,1469003.0
Latvia,tonnes,1431600.0
Austria,tonnes,1370960.0
Syrian Arab Republic,tonnes,1200000.0
Republic of Moldova,tonnes,1162778.0
Bangladesh,tonnes,1099373.0
Greece,tonnes,1072940.0
Turkmenistan,tonnes,1000000.0
Netherlands,tonnes,985297.0
Tajikistan,tonnes,778986.0
Japan,tonnes,764900.0
Croatia,tonnes,744405.0
Paraguay,tonnes,722400.0
Kyrgyzstan,tonnes,615926.0
Sudan,tonnes,595000.0
Saudi Arabia,tonnes,586413.0
Ireland,tonnes,506800.0
Switzerland,tonnes,497250.0
Finland,tonnes,494700.0
Estonia,tonnes,450265.0
Uruguay,tonnes,440000.0
Mongolia,tonnes,436115.0
New Zealand,tonnes,371027.0
Kenya,tonnes,336600.0
Bolivia (Plurinational State of),tonnes,301689.0
Bosnia and Herzegovina,tonnes,295810.0
North Macedonia,tonnes,241106.0
Albania,tonnes,240294.0
Peru,tonnes,195088.0
Armenia,tonnes,187453.0
Libya,tonnes,138770.0
Lebanon,tonnes,135411.0
Myanmar,tonnes,134372.0
Norway,tonnes,123500.0
Slovenia,tonnes,121901.0
Zambia,tonnes,114463.0
Georgia,tonnes,107100.0
Yemen,tonnes,105503.0
United Republic of Tanzania,tonnes,104870.0
Luxembourg,tonnes,78409.0
Israel,tonnes,70500.0
Portugal,tonnes,67749.0
Nigeria,tonnes,65433.0
Zimbabwe,tonnes,41488.0
Republic of Korea,tonnes,37577.0
Democratic People's Republic of Korea,tonnes,35000.0
Palestine,tonnes,34167.0
Mali,tonnes,29185.0
Eritrea,tonnes,28939.0
Uganda,tonnes,23597.0
Burundi,tonnes,22751.0
Mozambique,tonnes,21105.0
Jordan,tonnes,20668.0
Cyprus,tonnes,18054.0
Malta,tonnes,12208.0
Colombia,tonnes,11139.0
Rwanda,tonnes,10875.0
Lesotho,tonnes,9058.0
Mauritania,tonnes,7349.0
Other non-specified areas,tonnes,6724.0
Madagascar,tonnes,6322.0
Democratic Republic of the Congo,tonnes,6309.0
Namibia,tonnes,6094.0
Ecuador,tonnes,5398.0
Niger,tonnes,4807.0
Bhutan,tonnes,4141.0
Oman,tonnes,3579.0
Angola,tonnes,2820.0
Montenegro,tonnes,2467.0
Chad,tonnes,1798.0
Thailand,tonnes,1351.0
Guatemala,tonnes,1282.0
Honduras,tonnes,1248.0
Somalia,tonnes,1033.0
Cameroon,tonnes,938.0
Malawi,tonnes,729.0
Eswatini,tonnes,713.0
Venezuela (Bolivarian Republic of),tonnes,144.0
Qatar,tonnes,15.0
Kuwait,tonnes,9.0
New Caledonia,tonnes,4.0
