Country Name,GDP per capita,Life satisfaction,Homicide rate,Feeling safe walking alone at night
Australia,53316.8854335814,7.1,0.9,67.0
Austria,55685.9702933361,7.2,0.5,86.0
Belgium,53088.9687981348,6.8,1.1,56.0
Brazil,14835.4149268998,6.1,19.0,45.0
Canada,46572.1374328364,7.0,1.2,78.0
Switzerland,71745.2993952823,7.5,0.3,86.0
Chile,25110.1595407625,6.2,2.4,41.0
Colombia,14931.0468506417,5.7,23.1,50.0
Czech Republic,41608.0253519702,6.9,0.7,77.0
Germany,54844.5459733622,7.3,0.4,76.0
Denmark,60229.9147703017,7.5,0.5,85.0
Spain,37756.3509997639,6.5,0.7,80.0
Estonia,37645.2213607112,6.5,1.9,79.0
Finland,50517.027362262,7.9,1.2,88.0
France,46991.1820282957,6.7,0.4,74.0
United Kingdom,46482.8622423026,6.8,0.2,78.0
Greece,27948.6497284227,5.8,1.0,69.0
Hungary,33075.924417477,6.0,0.9,74.0
Ireland,93350.0875336544,7.0,0.5,76.0
Iceland,53616.6847084842,7.6,0.3,85.0
Israel,39489.2807769984,7.2,1.5,80.0
Italy,41902.077191264,6.5,0.5,73.0
Japan,42390.3798412236,6.1,0.2,77.0
"Korea, Rep.",45225.8445435145,5.8,0.8,82.0
Lithuania,38880.5452693822,6.4,2.5,62.0
Luxembourg,117846.13649183,7.4,0.2,87.0
Latvia,31482.6797134892,6.2,3.7,72.0
Mexico,18444.0730450892,6.0,26.8,42.0
Netherlands,59266.9085805339,7.5,0.6,83.0
Norway,62644.8457362642,7.3,0.6,93.0
New Zealand,44491.3249052222,7.3,1.3,66.0
Poland,34286.9850845384,6.1,0.5,71.0
Portugal,34177.085710564,5.8,0.7,83.0
Russian Federation,29812.2102548453,5.5,4.8,64.0
Slovak Republic,31356.458282425,6.5,0.8,76.0
Slovenia,39725.259194249,6.5,0.4,91.0
Sweden,55037.7239019554,7.3,1.1,79.0
Turkey,27235.4258308094,4.9,1.0,59.0
United States,63206.5210767941,7.0,6.0,78.0
South Africa,13360.5740081457,4.9,13.7,40.0
