Date,NIKKEI,HITACHI,TOSHIBA,MITSUBISHI,NEC,FUJITSU,PANASONIC,SONY
200501,11388 ,688 ,419 ,510 ,594 ,602 ,1537 ,3840 
200502,11741 ,663 ,460 ,549 ,679 ,688 ,1565 ,3990 
200503,11669 ,666 ,448 ,555 ,648 ,644 ,1580 ,4270 
200504,11009 ,620 ,430 ,556 ,578 ,578 ,1537 ,3920 
200505,11277 ,652 ,445 ,592 ,603 ,597 ,1622 ,4060 
200506,11584 ,674 ,442 ,588 ,600 ,582 ,1683 ,3820 
200507,11900 ,684 ,437 ,593 ,575 ,629 ,1832 ,3710 
200508,12414 ,675 ,436 ,593 ,589 ,656 ,1925 ,3700 
200509,13574 ,719 ,500 ,727 ,615 ,748 ,1923 ,3730 
200510,13607 ,711 ,536 ,693 ,573 ,764 ,2115 ,3760 
200511,14872 ,808 ,630 ,804 ,725 ,876 ,2415 ,4450 
200512,16111 ,795 ,704 ,835 ,734 ,898 ,2275 ,4820 
200601,16650 ,827 ,751 ,955 ,760 ,1034 ,2550 ,5700 
200602,16205 ,821 ,666 ,935 ,721 ,937 ,2480 ,5530 
200603,17060 ,833 ,684 ,999 ,827 ,993 ,2615 ,5450 
200604,16906 ,847 ,725 ,991 ,797 ,949 ,2750 ,5720 
200605,15467 ,757 ,750 ,909 ,668 ,825 ,2415 ,5010 
200606,15505 ,756 ,747 ,917 ,610 ,887 ,2415 ,5050 
200607,15457 ,734 ,741 ,900 ,634 ,889 ,2385 ,5280 
200608,16141 ,745 ,836 ,968 ,683 ,941 ,2510 ,5080 
200609,16128 ,689 ,766 ,995 ,649 ,974 ,2500 ,4780 
200610,16399 ,675 ,740 ,1020 ,602 ,954 ,2445 ,4850 
200611,16274 ,688 ,741 ,1053 ,553 ,946 ,2255 ,4580 
200612,17226 ,742 ,775 ,1086 ,569 ,934 ,2375 ,5100 
200701,17383 ,810 ,770 ,1093 ,610 ,905 ,2400 ,5550 
200702,17604 ,831 ,748 ,1185 ,628 ,822 ,2390 ,6170 
200703,17288 ,914 ,787 ,1214 ,632 ,785 ,2375 ,5990 
200704,17400 ,914 ,897 ,1167 ,638 ,756 ,2325 ,6420 
200705,17876 ,894 ,910 ,1113 ,620 ,831 ,2570 ,7010 
200706,18138 ,875 ,1075 ,1142 ,638 ,908 ,2445 ,6330 
200707,17249 ,853 ,1122 ,1269 ,587 ,788 ,2175 ,6310 
200708,16569 ,748 ,1044 ,1361 ,547 ,791 ,2020 ,5580 
200709,16786 ,765 ,1073 ,1440 ,558 ,812 ,2155 ,5570 
200710,16738 ,781 ,965 ,1396 ,570 ,900 ,2190 ,5640 
200711,15681 ,778 ,902 ,1270 ,519 ,777 ,2235 ,6010 
200712,15308 ,833 ,837 ,1168 ,515 ,753 ,2315 ,6200 
200801,13592 ,795 ,718 ,968 ,436 ,690 ,2250 ,5220 
200802,13603 ,766 ,797 ,975 ,459 ,754 ,2235 ,4990 
200803,12526 ,591 ,666 ,862 ,380 ,652 ,2160 ,3970 
200804,13850 ,701 ,862 ,1062 ,491 ,663 ,2445 ,4780 
200805,14339 ,758 ,929 ,1193 ,560 ,854 ,2400 ,5280 
200806,13481 ,766 ,783 ,1145 ,556 ,788 ,2290 ,4640 
200807,13377 ,780 ,706 ,1071 ,593 ,787 ,2310 ,4120 
200808,13073 ,809 ,614 ,934 ,510 ,761 ,2275 ,4240 
200809,11260 ,718 ,451 ,691 ,440 ,583 ,1795 ,3170 
200810,8577 ,453 ,351 ,598 ,283 ,377 ,1512 ,2220 
200811,8512 ,441 ,348 ,512 ,268 ,414 ,1144 ,1843 
200812,8860 ,345 ,366 ,552 ,297 ,429 ,1113 ,1922 
