Date,pcr_num
2022/1/1,7002
2022/1/2,11365
2022/1/3,5605
2022/1/4,87417
2022/1/5,85750
2022/1/6,65376
2022/1/7,97767
2022/1/8,56052
2022/1/9,33956
2022/1/10,33040
2022/1/11,110955
2022/1/12,128248
2022/1/13,147903
2022/1/14,134962
2022/1/15,93859
2022/1/16,62213
2022/1/17,192740
2022/1/18,145832
2022/1/19,221682
2022/1/20,191060
2022/1/21,233676
2022/1/22,163898
2022/1/23,84039
2022/1/24,246315
2022/1/25,223773
2022/1/26,288971
2022/1/27,214817
2022/1/28,274158
2022/1/29,174642
2022/1/30,118792
2022/1/31,249977
2022/2/1,253692
2022/2/2,264631
2022/2/3,266034
2022/2/4,237526
2022/2/5,168881
2022/2/6,86512
2022/2/7,316989
2022/2/8,216588
2022/2/9,257163
2022/2/10,210245
2022/2/11,174196
2022/2/12,106172
2022/2/13,70339
2022/2/14,210497
2022/2/15,177845
2022/2/16,228716
2022/2/17,206304
2022/2/18,247793
2022/2/19,134944
2022/2/20,88843
2022/2/21,178148
2022/2/22,220415
2022/2/23,119617
2022/2/24,184714
2022/2/25,245633
2022/2/26,140221
2022/2/27,72181
2022/2/28,197110
2022/3/1,168484
2022/3/2,217937
2022/3/3,142456
2022/3/4,211336
2022/3/5,121053
2022/3/6,72152
2022/3/7,152369
2022/3/8,166536
2022/3/9,205856
2022/3/10,166272
2022/3/11,178834
2022/3/12,114763
2022/3/13,66839
2022/3/14,150533
2022/3/15,140711
2022/3/16,170537
2022/3/17,156343
2022/3/18,176908
2022/3/19,94809
2022/3/20,53366
2022/3/21,37430
2022/3/22,141620
2022/3/23,156909
2022/3/24,141401
2022/3/25,156348
2022/3/26,95800
2022/3/27,66749
2022/3/28,111761
2022/3/29,119982
2022/3/30,147459
2022/3/31,138984
2022/4/1,184067
2022/4/2,100759
2022/4/3,39539
2022/4/4,125517
2022/4/5,180421
2022/4/6,127534
2022/4/7,144404
2022/4/8,177328
2022/4/9,96994
2022/4/10,56863
2022/4/11,87766
2022/4/12,156077
2022/4/13,163083
2022/4/14,169524
2022/4/15,173695
2022/4/16,103641
2022/4/17,49461
2022/4/18,169033
2022/4/19,159074
2022/4/20,196814
2022/4/21,135695
2022/4/22,179585
2022/4/23,97524
2022/4/24,54285
2022/4/25,123846
2022/4/26,1329376
2022/4/27,216039
2022/4/28,130850
2022/4/29,79507
2022/4/30,65236
2022/5/1,45549
2022/5/2,124494
2022/5/3,56098
2022/5/4,92663
2022/5/5,38243
2022/5/6,215284
2022/5/7,86295
2022/5/8,55066
2022/5/9,144463
2022/5/10,134897
2022/5/11,174645
2022/5/12,132340
2022/5/13,144865
2022/5/14,101552
2022/5/15,65366
2022/5/16,124690
2022/5/17,143012
2022/5/18,177176
2022/5/19,139802
2022/5/20,153317
2022/5/21,77689
2022/5/22,48711
2022/5/23,164058
2022/5/24,112685
2022/5/25,162341
2022/5/26,121221
2022/5/27,160757
2022/5/28,90345
2022/5/29,41599
2022/5/30,116521
2022/5/31,124755
2022/6/1,151792
2022/6/2,113743
2022/6/3,231849
2022/6/4,77138
2022/6/5,35265
2022/6/6,95922
2022/6/7,87349
2022/6/8,170481
2022/6/9,119739
2022/6/10,122181
2022/6/11,62943
2022/6/12,32945
2022/6/13,943649
2022/6/14,105115
2022/6/15,142954
2022/6/16,92091
2022/6/17,118508
2022/6/18,60957
2022/6/19,31630
2022/6/20,112971
2022/6/21,110080
2022/6/22,138240
2022/6/23,96823
2022/6/24,139255
2022/6/25,71397
2022/6/26,30779
2022/6/27,103223
2022/6/28,101708
2022/6/29,146266
2022/6/30,113086
2022/7/1,120244
2022/7/2,59903
2022/7/3,34144
2022/7/4,139927
2022/7/5,70601
